LSOA_Code,LSOA_Name,Local_Authority,WIMD_2019_Rank,WIMD_2019_Decile,Income_Rank,Education_Rank,Health_Rank,Access_Services_Rank
W00000073,Cardiff 073,Cardiff,707,4,1051,452,652,831
W00000074,Cardiff 074,Cardiff,339,2,580,505,537,128
W00000075,Cardiff 075,Cardiff,509,3,679,1138,864,1533
W00000076,Cardiff 076,Cardiff,193,2,814,580,1332,112
W00000077,Cardiff 077,Cardiff,164,1,284,1,300,135
W00000078,Cardiff 078,Cardiff,560,3,623,1325,861,223
W00000079,Cardiff 079,Cardiff,140,1,677,1,1195,1066
W00000080,Cardiff 080,Cardiff,312,2,1,1095,456,1094
W00000081,Cardiff 081,Cardiff,1,1,284,502,517,283
W00000082,Cardiff 082,Cardiff,749,4,115,437,545,746
W00000083,Cardiff 083,Cardiff,784,5,95,1,985,659
W00000084,Cardiff 084,Cardiff,200,2,1058,550,948,532
W00000085,Cardiff 085,Cardiff,1324,7,1131,390,869,809
W00000086,Cardiff 086,Cardiff,1047,6,152,801,902,1
W00000087,Cardiff 087,Cardiff,26,1,1,381,772,1221
W00000088,Cardiff 088,Cardiff,529,3,1086,1,1,473
W00000089,Cardiff 089,Cardiff,653,4,488,1,466,1
W00000090,Cardiff 090,Cardiff,767,5,631,86,304,1
W00000091,Cardiff 091,Cardiff,474,3,843,66,691,245
W00000092,Cardiff 092,Cardiff,182,1,461,44,289,1
W00000093,Cardiff 093,Cardiff,1285,7,512,192,581,446
W00000094,Cardiff 094,Cardiff,411,3,721,833,298,223
W00000095,Cardiff 095,Cardiff,389,3,1,1,1019,1289
W00000096,Cardiff 096,Cardiff,400,3,707,636,1669,1037
W00000097,Cardiff 097,Cardiff,448,3,156,1,577,136
W00000098,Cardiff 098,Cardiff,1,1,267,24,1141,923
W00000099,Cardiff 099,Cardiff,496,3,1032,534,172,1231
W00000100,Cardiff 100,Cardiff,715,4,126,416,167,1
W00000101,Cardiff 101,Cardiff,870,5,1187,1,713,187
W00000102,Cardiff 102,Cardiff,305,2,286,119,518,101
W00000103,Cardiff 103,Cardiff,608,4,481,394,155,223
W00000104,Swansea 001,Swansea,887,5,771,191,635,942
W00000105,Swansea 002,Swansea,1,1,785,323,805,251
W00000106,Swansea 003,Swansea,1,1,43,620,693,187
W00000107,Swansea 004,Swansea,842,5,31,572,162,302
W00000108,Swansea 005,Swansea,618,4,305,439,963,336
W00000109,Swansea 006,Swansea,917,5,213,821,1120,1
W00000110,Swansea 007,Swansea,297,2,797,515,733,324
W00000111,Swansea 008,Swansea,632,4,546,1088,691,753
W00000112,Swansea 009,Swansea,443,3,433,419,742,408
W00000113,Swansea 010,Swansea,710,4,1309,964,482,1147
W00000114,Swansea 011,Swansea,444,3,1,178,1,439
W00000115,Swansea 012,Swansea,606,4,1173,736,520,978
W00000116,Swansea 013,Swansea,1,1,680,922,66,1121
W00000117,Swansea 014,Swansea,728,4,457,864,1419,682
W00000118,Swansea 015,Swansea,694,4,442,244,899,209
W00000119,Swansea 016,Swansea,627,4,436,800,720,1073
W00000120,Swansea 017,Swansea,406,3,507,190,439,772
W00000121,Swansea 018,Swansea,887,5,284,963,1089,788
W00000122,Swansea 019,Swansea,1313,7,335,79,1,1282
W00000123,Swansea 020,Swansea,848,5,580,717,193,1715
W00000124,Swansea 021,Swansea,649,4,637,903,773,702
W00000125,Swansea 022,Swansea,299,2,761,1386,1085,1326
W00000126,Swansea 023,Swansea,405,3,261,547,620,1098
W00000127,Swansea 024,Swansea,1,1,1123,533,445,138
W00000128,Swansea 025,Swansea,1,1,881,630,134,9
W00000129,Swansea 026,Swansea,472,3,1170,491,57,487
W00000130,Swansea 027,Swansea,496,3,1,577,516,917
W00000131,Swansea 028,Swansea,1302,7,985,487,200,1773
W00000132,Swansea 029,Swansea,622,4,604,589,671,534
W00000133,Swansea 030,Swansea,382,3,412,586,403,274
W00000134,Swansea 031,Swansea,640,4,512,1228,1,1097
W00000135,Swansea 032,Swansea,1073,6,1,456,465,1
W00000136,Swansea 033,Swansea,304,2,220,1332,937,1179
W00000137,Swansea 034,Swansea,874,5,213,380,776,42
W00000138,Swansea 035,Swansea,870,5,517,443,856,802
W00000139,Swansea 036,Swansea,462,3,996,148,822,870
W00000140,Swansea 037,Swansea,482,3,711,77,933,515
W00000141,Swansea 038,Swansea,401,3,958,305,91,1
W00000142,Swansea 039,Swansea,830,5,162,1333,1,1373
W00000143,Swansea 040,Swansea,680,4,566,372,744,582
W00000144,Swansea 041,Swansea,1019,6,639,662,468,574
W00000145,Swansea 042,Swansea,716,4,15,36,868,677
W00000146,Swansea 043,Swansea,530,3,606,745,405,245
W00000147,Swansea 044,Swansea,674,4,265,770,1,1069
W00000148,Swansea 045,Swansea,779,5,687,1010,1201,1062
W00000149,Swansea 046,Swansea,1,1,162,338,609,836
W00000150,Swansea 047,Swansea,324,2,663,284,379,1
W00000151,Swansea 048,Swansea,249,2,137,192,980,167
W00000152,Swansea 049,Swansea,1600,9,768,677,290,919
W00000153,Swansea 050,Swansea,381,2,641,1670,565,1124
W00000154,Swansea 051,Swansea,332,2,588,1340,373,1426
W00000155,Swansea 052,Swansea,868,5,407,864,951,883
W00000156,Swansea 053,Swansea,3,1,351,496,573,883
W00000157,Swansea 054,Swansea,667,4,143,758,820,855
W00000158,Swansea 055,Swansea,1010,6,885,791,574,1
W00000159,Swansea 056,Swansea,763,4,671,713,139,107
W00000160,Swansea 057,Swansea,1000,6,586,884,610,613
W00000161,Swansea 058,Swansea,956,6,423,640,433,401
W00000162,Swansea 059,Swansea,482,3,675,399,1053,192
W00000163,Swansea 060,Swansea,528,3,449,1204,670,1070
W00000164,Swansea 061,Swansea,35,1,691,971,629,1085
W00000165,Swansea 062,Swansea,403,3,1081,1560,469,396
W00000166,Swansea 063,Swansea,1152,7,1140,381,448,471
W00000167,Swansea 064,Swansea,89,1,285,180,322,584
W00000168,Swansea 065,Swansea,689,4,1130,182,955,502
W00000169,Swansea 066,Swansea,581,4,830,130,738,675
W00000170,Swansea 067,Swansea,787,5,698,1626,369,357
W00000171,Swansea 068,Swansea,363,2,410,333,1029,1247
W00000172,Swansea 069,Swansea,383,3,315,797,400,888
W00000173,Swansea 070,Swansea,677,4,81,1246,1248,320
W00000174,Swansea 071,Swansea,452,3,697,739,837,1516
W00000175,Swansea 072,Swansea,532,3,326,23,336,584
W00000176,Swansea 073,Swansea,1281,7,422,693,594,1141
W00000177,Swansea 074,Swansea,1560,9,418,395,976,910
W00000178,Swansea 075,Swansea,1301,7,799,449,813,1105
W00000179,Swansea 076,Swansea,911,5,773,1045,1022,1230
W00000180,Swansea 077,Swansea,846,5,542,661,1035,227
W00000181,Swansea 078,Swansea,740,4,465,612,1061,687
W00000182,Swansea 079,Swansea,617,4,134,911,833,1586
W00000183,Swansea 080,Swansea,483,3,674,704,1169,556
W00000184,Swansea 081,Swansea,706,4,807,678,438,688
W00000185,Swansea 082,Swansea,1007,6,248,655,347,1144
W00000186,Newport 001,Newport,121,1,508,857,1265,670
W00000187,Newport 002,Newport,489,3,1343,94,1,900
W00000188,Newport 003,Newport,509,3,350,996,788,442
W00000189,Newport 004,Newport,213,2,998,971,664,1542
W00000190,Newport 005,Newport,293,2,178,410,683,810
W00000191,Newport 006,Newport,608,4,820,176,1221,662
W00000192,Newport 007,Newport,1124,6,817,890,905,904
W00000193,Newport 008,Newport,944,5,1154,782,955,659
W00000194,Newport 009,Newport,1247,7,468,1452,685,47
W00000195,Newport 010,Newport,748,4,467,1051,464,496
W00000196,Newport 011,Newport,1,1,545,1,128,1046
W00000197,Newport 012,Newport,998,6,845,295,682,698
W00000198,Newport 013,Newport,259,2,1214,1066,620,712
W00000199,Newport 014,Newport,779,5,1,596,453,243
W00000200,Newport 015,Newport,593,4,1314,967,493,961
W00000201,Newport 016,Newport,1231,7,1016,724,466,1018
W00000202,Newport 017,Newport,849,5,1006,965,1078,455
W00000203,Newport 018,Newport,1200,7,767,1567,451,1491
W00000204,Newport 019,Newport,775,5,477,497,584,893
W00000205,Newport 020,Newport,898,5,503,689,1473,1487
W00000206,Newport 021,Newport,865,5,712,750,921,233
W00000207,Newport 022,Newport,602,4,129,866,933,479
W00000208,Newport 023,Newport,1298,7,280,87,781,1177
W00000209,Newport 024,Newport,1339,8,543,1150,686,621
W00000210,Newport 025,Newport,1035,6,923,41,1233,1329
W00000211,Newport 026,Newport,462,3,835,906,794,449
W00000212,Newport 027,Newport,444,3,691,1190,896,530
W00000213,Newport 028,Newport,993,6,1,1180,71,534
W00000214,Newport 029,Newport,274,2,257,1185,531,858
W00000215,Newport 030,Newport,682,4,863,732,236,1154
W00000216,Newport 031,Newport,512,3,167,521,1241,1087
W00000217,Newport 032,Newport,567,3,580,565,1449,874
W00000218,Newport 033,Newport,863,5,1052,799,606,610
W00000219,Newport 034,Newport,672,4,687,1004,718,1034
W00000220,Newport 035,Newport,669,4,726,1,1030,857
W00000221,Newport 036,Newport,1079,6,1,1572,649,1205
W00000222,Newport 037,Newport,304,2,909,259,474,1572
W00000223,Newport 038,Newport,627,4,774,1063,878,768
W00000224,Newport 039,Newport,838,5,1521,675,772,1179
W00000225,Newport 040,Newport,1120,6,1105,966,287,1444
W00000226,Newport 041,Newport,264,2,803,384,676,849
W00000227,Newport 042,Newport,822,5,844,1374,863,588
W00000228,Newport 043,Newport,1066,6,1106,186,915,1019
W00000229,Newport 044,Newport,586,4,1170,637,745,621
W00000230,Newport 045,Newport,705,4,325,98,1275,313
W00000231,Newport 046,Newport,323,2,1,432,222,1448
W00000232,Newport 047,Newport,1083,6,464,1641,1054,551
W00000233,Newport 048,Newport,1,1,1483,119,106,1166
W00000234,Newport 049,Newport,1627,9,1173,935,914,1089
W00000235,Newport 050,Newport,988,6,796,743,677,356
W00000236,Newport 051,Newport,593,4,121,658,343,196
W00000237,Newport 052,Newport,768,5,1176,1083,133,248
W00000238,Newport 053,Newport,1057,6,363,606,898,258
W00000239,Newport 054,Newport,740,4,243,448,815,1
W00000240,Rhondda Cynon Taf 001,Rhondda Cynon Taf,554,3,393,612,474,972
W00000241,Rhondda Cynon Taf 002,Rhondda Cynon Taf,443,3,264,447,580,420
W00000242,Rhondda Cynon Taf 003,Rhondda Cynon Taf,414,3,178,144,1,1134
W00000243,Rhondda Cynon Taf 004,Rhondda Cynon Taf,1,1,181,123,697,276
W00000244,Rhondda Cynon Taf 005,Rhondda Cynon Taf,836,5,187,507,122,1300
W00000245,Rhondda Cynon Taf 006,Rhondda Cynon Taf,1,1,497,644,537,322
W00000246,Rhondda Cynon Taf 007,Rhondda Cynon Taf,354,2,413,343,720,1328
W00000247,Rhondda Cynon Taf 008,Rhondda Cynon Taf,204,2,1,366,1257,62
W00000248,Rhondda Cynon Taf 009,Rhondda Cynon Taf,973,6,928,186,589,1083
W00000249,Rhondda Cynon Taf 010,Rhondda Cynon Taf,267,2,335,176,62,127
W00000250,Rhondda Cynon Taf 011,Rhondda Cynon Taf,1,1,410,103,477,1
W00000251,Rhondda Cynon Taf 012,Rhondda Cynon Taf,515,3,662,1,524,915
W00000252,Rhondda Cynon Taf 013,Rhondda Cynon Taf,1,1,926,561,165,376
W00000253,Rhondda Cynon Taf 014,Rhondda Cynon Taf,595,4,423,607,93,471
W00000254,Rhondda Cynon Taf 015,Rhondda Cynon Taf,1,1,364,51,155,919
W00000255,Rhondda Cynon Taf 016,Rhondda Cynon Taf,781,5,591,1,294,909
W00000256,Rhondda Cynon Taf 017,Rhondda Cynon Taf,449,3,1130,551,463,270
W00000257,Rhondda Cynon Taf 018,Rhondda Cynon Taf,446,3,351,672,718,69
W00000258,Rhondda Cynon Taf 019,Rhondda Cynon Taf,1,1,1,595,33,1
W00000259,Rhondda Cynon Taf 020,Rhondda Cynon Taf,536,3,1185,397,678,434
W00000260,Rhondda Cynon Taf 021,Rhondda Cynon Taf,365,2,689,288,488,535
W00000261,Rhondda Cynon Taf 022,Rhondda Cynon Taf,166,1,712,332,148,625
W00000262,Rhondda Cynon Taf 023,Rhondda Cynon Taf,85,1,408,396,761,599
W00000263,Rhondda Cynon Taf 024,Rhondda Cynon Taf,391,3,657,935,585,404
W00000264,Rhondda Cynon Taf 025,Rhondda Cynon Taf,1,1,64,282,197,321
W00000265,Rhondda Cynon Taf 026,Rhondda Cynon Taf,419,3,566,372,561,427
W00000266,Rhondda Cynon Taf 027,Rhondda Cynon Taf,1,1,104,344,1,651
W00000267,Rhondda Cynon Taf 028,Rhondda Cynon Taf,935,5,783,317,895,462
W00000268,Rhondda Cynon Taf 029,Rhondda Cynon Taf,282,2,206,283,270,471
W00000269,Rhondda Cynon Taf 030,Rhondda Cynon Taf,456,3,400,568,795,798
W00000270,Rhondda Cynon Taf 031,Rhondda Cynon Taf,1,1,1,759,1,305
W00000271,Rhondda Cynon Taf 032,Rhondda Cynon Taf,1,1,1,608,652,157
W00000272,Rhondda Cynon Taf 033,Rhondda Cynon Taf,1,1,227,550,1,477
W00000273,Rhondda Cynon Taf 034,Rhondda Cynon Taf,394,3,582,446,76,902
W00000274,Rhondda Cynon Taf 035,Rhondda Cynon Taf,344,2,391,40,252,28
W00000275,Rhondda Cynon Taf 036,Rhondda Cynon Taf,339,2,939,1,1,1017
W00000276,Rhondda Cynon Taf 037,Rhondda Cynon Taf,326,2,189,800,198,1166
W00000277,Rhondda Cynon Taf 038,Rhondda Cynon Taf,637,4,246,1230,198,711
W00000278,Rhondda Cynon Taf 039,Rhondda Cynon Taf,504,3,810,1001,410,83
W00000279,Rhondda Cynon Taf 040,Rhondda Cynon Taf,560,3,186,1175,445,246
W00000280,Rhondda Cynon Taf 041,Rhondda Cynon Taf,464,3,1,25,799,124
W00000281,Rhondda Cynon Taf 042,Rhondda Cynon Taf,33,1,569,856,639,818
W00000282,Rhondda Cynon Taf 043,Rhondda Cynon Taf,135,1,1,978,292,294
W00000283,Rhondda Cynon Taf 044,Rhondda Cynon Taf,864,5,575,575,1119,129
W00000284,Rhondda Cynon Taf 045,Rhondda Cynon Taf,724,4,417,503,908,613
W00000285,Rhondda Cynon Taf 046,Rhondda Cynon Taf,588,4,737,259,120,1
W00000286,Rhondda Cynon Taf 047,Rhondda Cynon Taf,1,1,1047,1,326,283
W00000287,Rhondda Cynon Taf 048,Rhondda Cynon Taf,507,3,656,731,206,329
W00000288,Rhondda Cynon Taf 049,Rhondda Cynon Taf,498,3,321,1018,563,708
W00000289,Rhondda Cynon Taf 050,Rhondda Cynon Taf,632,4,769,469,1,567
W00000290,Rhondda Cynon Taf 051,Rhondda Cynon Taf,172,1,233,625,811,408
W00000291,Rhondda Cynon Taf 052,Rhondda Cynon Taf,508,3,936,492,1265,637
W00000292,Rhondda Cynon Taf 053,Rhondda Cynon Taf,1,1,637,546,828,682
W00000293,Rhondda Cynon Taf 054,Rhondda Cynon Taf,351,2,14,319,117,156
W00000294,Rhondda Cynon Taf 055,Rhondda Cynon Taf,606,4,926,551,2,586
W00000295,Rhondda Cynon Taf 056,Rhondda Cynon Taf,818,5,207,348,404,70
W00000296,Rhondda Cynon Taf 057,Rhondda Cynon Taf,626,4,361,561,104,216
W00000297,Rhondda Cynon Taf 058,Rhondda Cynon Taf,652,4,282,1064,267,494
W00000298,Rhondda Cynon Taf 059,Rhondda Cynon Taf,726,4,1,1,1,930
W00000299,Rhondda Cynon Taf 060,Rhondda Cynon Taf,206,2,1205,182,461,1047
W00000300,Rhondda Cynon Taf 061,Rhondda Cynon Taf,1102,6,1049,865,740,648
W00000301,Rhondda Cynon Taf 062,Rhondda Cynon Taf,672,4,226,84,398,328
W00000302,Rhondda Cynon Taf 063,Rhondda Cynon Taf,241,2,619,767,429,1020
W00000303,Rhondda Cynon Taf 064,Rhondda Cynon Taf,1,1,338,124,1,365
W00000304,Rhondda Cynon Taf 065,Rhondda Cynon Taf,357,2,876,642,59,1178
W00000305,Rhondda Cynon Taf 066,Rhondda Cynon Taf,827,5,583,312,80,243
W00000306,Rhondda Cynon Taf 067,Rhondda Cynon Taf,781,5,993,994,237,1
W00000307,Rhondda Cynon Taf 068,Rhondda Cynon Taf,449,3,1,524,350,204
W00000308,Rhondda Cynon Taf 069,Rhondda Cynon Taf,1,1,561,194,11,1
W00000309,Rhondda Cynon Taf 070,Rhondda Cynon Taf,390,3,958,1039,248,147
W00000310,Rhondda Cynon Taf 071,Rhondda Cynon Taf,564,3,85,516,654,915
W00000311,Rhondda Cynon Taf 072,Rhondda Cynon Taf,364,2,335,61,125,304
W00000312,Rhondda Cynon Taf 073,Rhondda Cynon Taf,528,3,687,90,896,286
W00000313,Rhondda Cynon Taf 074,Rhondda Cynon Taf,392,3,164,1,693,709
W00000314,Rhondda Cynon Taf 075,Rhondda Cynon Taf,301,2,421,598,1,177
W00000315,Rhondda Cynon Taf 076,Rhondda Cynon Taf,677,4,4,513,1,595
W00000316,Rhondda Cynon Taf 077,Rhondda Cynon Taf,387,3,1,848,155,59
W00000317,Rhondda Cynon Taf 078,Rhondda Cynon Taf,470,3,761,8,420,580
W00000318,Rhondda Cynon Taf 079,Rhondda Cynon Taf,642,4,455,258,124,436
W00000319,Rhondda Cynon Taf 080,Rhondda Cynon Taf,24,1,1,568,700,1
W00000320,Rhondda Cynon Taf 081,Rhondda Cynon Taf,46,1,595,1192,406,94
W00000321,Rhondda Cynon Taf 082,Rhondda Cynon Taf,335,2,833,151,134,197
W00000322,Rhondda Cynon Taf 083,Rhondda Cynon Taf,66,1,438,1025,507,294
W00000323,Rhondda Cynon Taf 084,Rhondda Cynon Taf,297,2,1,739,374,324
W00000324,Rhondda Cynon Taf 085,Rhondda Cynon Taf,1517,8,494,110,258,882
W00000325,Rhondda Cynon Taf 086,Rhondda Cynon Taf,439,3,1,753,177,1186
W00000326,Rhondda Cynon Taf 087,Rhondda Cynon Taf,778,5,259,893,422,758
W00000327,Rhondda Cynon Taf 088,Rhondda Cynon Taf,569,3,133,152,742,259
W00000328,Rhondda Cynon Taf 089,Rhondda Cynon Taf,258,2,99,563,1085,1
W00000329,Rhondda Cynon Taf 090,Rhondda Cynon Taf,408,3,844,369,550,1
W00000330,Rhondda Cynon Taf 091,Rhondda Cynon Taf,549,3,341,779,794,1487
W00000331,Rhondda Cynon Taf 092,Rhondda Cynon Taf,602,4,502,474,282,542
W00000332,Rhondda Cynon Taf 093,Rhondda Cynon Taf,296,2,453,907,65,878
W00000333,Rhondda Cynon Taf 094,Rhondda Cynon Taf,860,5,362,1,197,944
W00000334,Rhondda Cynon Taf 095,Rhondda Cynon Taf,391,3,85,205,679,629
W00000335,Rhondda Cynon Taf 096,Rhondda Cynon Taf,316,2,284,249,93,1078
W00000336,Rhondda Cynon Taf 097,Rhondda Cynon Taf,287,2,783,985,731,218
W00000337,Rhondda Cynon Taf 098,Rhondda Cynon Taf,541,3,392,52,507,1
W00000338,Rhondda Cynon Taf 099,Rhondda Cynon Taf,815,5,253,477,494,291
W00000339,Rhondda Cynon Taf 100,Rhondda Cynon Taf,605,4,250,735,1,453
W00000340,Rhondda Cynon Taf 101,Rhondda Cynon Taf,1078,6,84,139,570,475
W00000341,Rhondda Cynon Taf 102,Rhondda Cynon Taf,522,3,554,644,768,572
W00000342,Rhondda Cynon Taf 103,Rhondda Cynon Taf,315,2,611,1131,355,1
W00000343,Rhondda Cynon Taf 104,Rhondda Cynon Taf,787,5,362,1,681,175
W00000344,Rhondda Cynon Taf 105,Rhondda Cynon Taf,368,2,504,473,635,217
W00000345,Rhondda Cynon Taf 106,Rhondda Cynon Taf,579,4,318,684,604,7
W00000346,Rhondda Cynon Taf 107,Rhondda Cynon Taf,780,5,231,711,522,1172
W00000347,Rhondda Cynon Taf 108,Rhondda Cynon Taf,321,2,289,392,299,735
W00000348,Rhondda Cynon Taf 109,Rhondda Cynon Taf,1,1,68,1,715,1118
W00000349,Rhondda Cynon Taf 110,Rhondda Cynon Taf,363,2,346,426,786,10
W00000350,Rhondda Cynon Taf 111,Rhondda Cynon Taf,483,3,707,592,463,820
W00000351,Rhondda Cynon Taf 112,Rhondda Cynon Taf,1,1,613,148,1,614
W00000352,Rhondda Cynon Taf 113,Rhondda Cynon Taf,880,5,356,766,936,952
W00000353,Rhondda Cynon Taf 114,Rhondda Cynon Taf,973,6,633,429,1,296
W00000354,Rhondda Cynon Taf 115,Rhondda Cynon Taf,104,1,1083,332,440,631
W00000355,Rhondda Cynon Taf 116,Rhondda Cynon Taf,415,3,933,160,464,88
W00000356,Rhondda Cynon Taf 117,Rhondda Cynon Taf,1,1,207,385,257,109
W00000357,Rhondda Cynon Taf 118,Rhondda Cynon Taf,1,1,373,1,652,434
W00000358,Caerphilly 001,Caerphilly,1,1,444,235,665,1161
W00000359,Caerphilly 002,Caerphilly,1,1,589,483,792,647
W00000360,Caerphilly 003,Caerphilly,264,2,440,217,938,559
W00000361,Caerphilly 004,Caerphilly,1272,7,529,253,3,1
W00000362,Caerphilly 005,Caerphilly,1,1,641,762,1,958
W00000363,Caerphilly 006,Caerphilly,366,2,600,1223,873,427
W00000364,Caerphilly 007,Caerphilly,211,2,1,249,473,99
W00000365,Caerphilly 008,Caerphilly,500,3,576,456,315,626
W00000366,Caerphilly 009,Caerphilly,717,4,177,1139,514,558
W00000367,Caerphilly 010,Caerphilly,819,5,629,948,653,270
W00000368,Caerphilly 011,Caerphilly,687,4,158,595,538,455
W00000369,Caerphilly 012,Caerphilly,501,3,1,320,583,622
W00000370,Caerphilly 013,Caerphilly,159,1,982,187,899,744
W00000371,Caerphilly 014,Caerphilly,304,2,1157,51,881,1006
W00000372,Caerphilly 015,Caerphilly,295,2,1026,445,654,668
W00000373,Caerphilly 016,Caerphilly,498,3,827,881,1,1144
W00000374,Caerphilly 017,Caerphilly,1,1,903,1020,156,362
W00000375,Caerphilly 018,Caerphilly,129,1,476,421,831,1147
W00000376,Caerphilly 019,Caerphilly,1080,6,357,462,1,182
W00000377,Caerphilly 020,Caerphilly,916,5,1102,34,336,537
W00000378,Caerphilly 021,Caerphilly,656,4,273,727,378,543
W00000379,Caerphilly 022,Caerphilly,757,4,552,367,510,509
W00000380,Caerphilly 023,Caerphilly,409,3,461,1218,752,415
W00000381,Caerphilly 024,Caerphilly,814,5,435,1040,683,501
W00000382,Caerphilly 025,Caerphilly,720,4,12,79,118,615
W00000383,Caerphilly 026,Caerphilly,1208,7,1313,816,730,1
W00000384,Caerphilly 027,Caerphilly,343,2,280,290,489,334
W00000385,Caerphilly 028,Caerphilly,1,1,805,101,636,1495
W00000386,Caerphilly 029,Caerphilly,200,2,1,430,947,1443
W00000387,Caerphilly 030,Caerphilly,82,1,719,355,511,1755
W00000388,Caerphilly 031,Caerphilly,1,1,636,745,941,594
W00000389,Caerphilly 032,Caerphilly,667,4,416,662,426,833
W00000390,Caerphilly 033,Caerphilly,409,3,678,537,956,526
W00000391,Caerphilly 034,Caerphilly,1,1,981,171,313,278
W00000392,Caerphilly 035,Caerphilly,1072,6,1,1861,931,651
W00000393,Caerphilly 036,Caerphilly,529,3,647,767,782,803
W00000394,Caerphilly 037,Caerphilly,584,4,482,486,479,1066
W00000395,Caerphilly 038,Caerphilly,775,5,1,824,620,541
